Student,Total Score,Version,Question 1 Score,Question 1 Weight,Question 1 Student Response(s),Question 1 Correct Response,Question 2 Score,Question 2 Weight,Question 2 Student Response(s),Question 2 Correct Response,Question 3 Score,Question 3 Weight,Question 3 Student Response(s),Question 3 Correct Response,Question 4 Score,Question 4 Weight,Question 4 Student Response(s),Question 4 Correct Response,Question 5 Score,Question 5 Weight,Question 5 Student Response(s),Question 5 Correct Response,Question 6 Score,Question 6 Weight,Question 6 Student Response(s),Question 6 Correct Response,Question 7 Score,Question 7 Weight,Question 7 Student Response(s),Question 7 Correct Response,Question 8 Score,Question 8 Weight,Question 8 Student Response(s),Question 8 Correct Response,Question 9 Score,Question 9 Weight,Question 9 Student Response(s),Question 9 Correct Response,Question 10 Score,Question 10 Weight,Question 10 Student Response(s),Question 10 Correct Response,Question 11 Score,Question 11 Weight,Question 11 Student Response(s),Question 11 Correct Response,Question 12 Score,Question 12 Weight,Question 12 Student Response(s),Question 12 Correct Response,Question 13 Score,Question 13 Weight,Question 13 Student Response(s),Question 13 Correct Response,Question 14 Score,Question 14 Weight,Question 14 Student Response(s),Question 14 Correct Response,Question 15 Score,Question 15 Weight,Question 15 Student Response(s),Question 15 Correct Response,Question 16 Score,Question 16 Weight,Question 16 Student Response(s),Question 16 Correct Response,Question 17 Score,Question 17 Weight,Question 17 Student Response(s),Question 17 Correct Response,Question 18 Score,Question 18 Weight,Question 18 Student Response(s),Question 18 Correct Response,Question 19 Score,Question 19 Weight,Question 19 Student Response(s),Question 19 Correct Response,Question 20 Score,Question 20 Weight,Question 20 Student Response(s),Question 20 Correct Response,Question 21 Score,Question 21 Weight,Question 21 Student Response(s),Question 21 Correct Response,Question 22 Score,Question 22 Weight,Question 22 Student Response(s),Question 22 Correct Response,Question 23 Score,Question 23 Weight,Question 23 Student Response(s),Question 23 Correct Response,Question 24 Score,Question 24 Weight,Question 24 Student Response(s),Question 24 Correct Response,Question 25 Score,Question 25 Weight,Question 25 Student Response(s),Question 25 Correct Response,Question 26 Score,Question 26 Weight,Question 26 Student Response(s),Question 26 Correct Response,Question 27 Score,Question 27 Weight,Question 27 Student Response(s),Question 27 Correct Response,Question 28 Score,Question 28 Weight,Question 28 Student Response(s),Question 28 Correct Response,Question 29 Score,Question 29 Weight,Question 29 Student Response(s),Question 29 Correct Response,Question 30 Score,Question 30 Weight,Question 30 Student Response(s),Question 30 Correct Response,Question 31 Score,Question 31 Weight,Question 31 Student Response(s),Question 31 Correct Response,Question 32 Score,Question 32 Weight,Question 32 Student Response(s),Question 32 Correct Response,Question 33 Score,Question 33 Weight,Question 33 Student Response(s),Question 33 Correct Response,Question 34 Score,Question 34 Weight,Question 34 Student Response(s),Question 34 Correct Response,Question 35 Score,Question 35 Weight,Question 35 Student Response(s),Question 35 Correct Response,Question 36 Score,Question 36 Weight,Question 36 Student Response(s),Question 36 Correct Response,Question 37 Score,Question 37 Weight,Question 37 Student Response(s),Question 37 Correct Response,Question 38 Score,Question 38 Weight,Question 38 Student Response(s),Question 38 Correct Response,Question 39 Score,Question 39 Weight,Question 39 Student Response(s),Question 39 Correct Response,Question 40 Score,Question 40 Weight,Question 40 Student Response(s),Question 40 Correct Response,Question 41 Score,Question 41 Weight,Question 41 Student Response(s),Question 41 Correct Response
11,29,A,1,1,A,A,1,1,D,D,1,1,C,C,1,1,B,B,1,1,E,E,1,1,A,A,1,1,B,B,1,1,C,C,0,1,"A, C, D","A, C",1,1,D,D,1,1,C,C,1,1,"C, D, E","C, D, E",1,1,"B, C","B, C",0,1,A,E,1,1,E,"A, C, E",1,1,C,C,1,1,E,E,1,1,D,D,0,1,B,A,1,1,A,A,1,1,C,C,1,1,B,B,1,1,E,E,0,1,C,D,0,1,"B, D","D, E",0,1,C,D,0,1,C,B,1,1,D,D,1,1,A,A,0,1,A,D,1,1,A,"A, B, C, D, E",1,1,D,D,0,1,A,C,1,1,E,E,1,1,D,D,1,1,A,A,0,0,A,"A, B, C, D, E",0,1,A,D,0,1,"C, D","B, C",1,1,B,B,1,1,B,B
12,31,A,1,1,A,A,1,1,D,D,1,1,C,C,1,1,B,B,1,1,E,E,0,1,C,A,1,1,B,B,0,1,A,C,0,1,"D, E","A, C",0,1,B,D,1,1,C,C,1,1,"C, D, E","C, D, E",0,1,"C, D","B, C",1,1,E,E,1,1,C,"A, C, E",0,1,E,C,1,1,E,E,1,1,D,D,1,1,A,A,1,1,A,A,1,1,C,C,1,1,B,B,1,1,E,E,1,1,D,D,1,1,"D, E","D, E",1,1,D,D,0,1,C,B,1,1,D,D,1,1,A,A,1,1,D,D,1,1,A,"A, B, C, D, E",0,1,B,D,1,1,C,C,1,1,E,E,1,1,D,D,1,1,A,A,0,0,A,"A, B, C, D, E",1,1,D,D,1,1,"B, C","B, C",1,1,B,B,0,1,D,B
13,21.8333,A,1,1,A,A,0,1,B,D,1,1,C,C,0,1,A,B,0,1,C,E,1,1,A,A,0,1,E,B,1,1,C,C,1,1,"A, C","A, C",1,1,D,D,1,1,C,C,0.3333,1,E,"C, D, E",1,1,"B, C","B, C",1,1,E,E,1,1,E,"A, C, E",1,1,C,C,0,1,D,E,0,1,B,D,0,1,B,A,1,1,A,A,1,1,C,C,1,1,B,B,1,1,E,E,0,1,C,D,0.5,1,E,"D, E",0,1,B,D,0,1,A,B,0,1,A,D,1,1,A,A,0,1,A,D,1,1,D,"A, B, C, D, E",1,1,D,D,1,1,C,C,0,1,D,E,0,1,C,D,1,1,A,A,0,0,A,"A, B, C, D, E",0,1,A,D,0,1,D,"B, C",1,1,B,B,0,1,A,B
14,27.5,A,1,1,A,A,0,1,B,D,0,1,E,C,1,1,B,B,0,1,D,E,1,1,A,A,1,1,B,B,1,1,C,C,0,1,"B, C","A, C",0,1,"A, D",D,1,1,C,C,1,1,"C, D, E","C, D, E",0,1,"C, D","B, C",0,1,B,E,1,1,C,"A, C, E",1,1,C,C,1,1,E,E,1,1,D,D,1,1,A,A,1,1,A,A,0,1,E,C,1,1,B,B,0,1,C,E,0,1,E,D,0.5,1,D,"D, E",1,1,D,D,1,1,B,B,1,1,D,D,1,1,A,A,0,1,A,D,1,1,C,"A, B, C, D, E",1,1,D,D,1,1,C,C,1,1,E,E,1,1,D,D,0,1,C,A,0,0,A,"A, B, C, D, E",1,1,D,D,1,1,"B, C","B, C",1,1,B,B,1,1,B,B
15,39,A,1,1,A,A,1,1,D,D,1,1,C,C,1,1,B,B,1,1,E,E,1,1,A,A,1,1,B,B,0,1,B,C,1,1,"A, C","A, C",1,1,D,D,1,1,C,C,1,1,"C, D, E","C, D, E",1,1,"B, C","B, C",1,1,E,E,1,1,E,"A, C, E",1,1,C,C,1,1,E,E,1,1,D,D,1,1,A,A,1,1,A,A,1,1,C,C,1,1,B,B,1,1,E,E,1,1,D,D,1,1,"D, E","D, E",1,1,D,D,1,1,B,B,1,1,D,D,1,1,A,A,1,1,D,D,1,1,A,"A, B, C, D, E",1,1,D,D,1,1,C,C,1,1,E,E,1,1,D,D,1,1,A,A,0,0,A,"A, B, C, D, E",1,1,D,D,1,1,"B, C","B, C",1,1,B,B,1,1,B,B
16,31,A,1,1,A,A,0,1,B,D,1,1,C,C,1,1,B,B,1,1,E,E,1,1,A,A,1,1,B,B,1,1,C,C,1,1,"A, C","A, C",0,1,B,D,1,1,C,C,1,1,"C, D, E","C, D, E",1,1,"B, C","B, C",1,1,E,E,1,1,E,"A, C, E",1,1,C,C,0,1,B,E,0,1,B,D,1,1,A,A,1,1,A,A,1,1,C,C,1,1,B,B,1,1,E,E,1,1,D,D,0,1,"B, E","D, E",1,1,D,D,1,1,B,B,1,1,D,D,1,1,A,A,0,1,A,D,1,1,D,"A, B, C, D, E",1,1,D,D,1,1,C,C,1,1,E,E,0,1,C,D,1,1,A,A,0,0,A,"A, B, C, D, E",0,1,E,D,0,1,"A, B","B, C",1,1,B,B,1,1,B,B
17,33.6667,A,1,1,A,A,0,1,B,D,1,1,C,C,1,1,B,B,1,1,E,E,1,1,A,A,1,1,B,B,1,1,C,C,0,1,"B, D","A, C",1,1,D,D,1,1,C,C,0.6667,1,"C, E","C, D, E",1,1,"B, C","B, C",1,1,E,E,1,1,E,"A, C, E",1,1,C,C,1,1,E,E,0,1,B,D,0,1,B,A,1,1,A,A,1,1,C,C,1,1,B,B,1,1,E,E,1,1,D,D,1,1,"D, E","D, E",0,1,E,D,0,1,C,B,1,1,D,D,1,1,A,A,1,1,D,D,1,1,B,"A, B, C, D, E",1,1,D,D,1,1,C,C,1,1,E,E,1,1,D,D,1,1,A,A,0,0,A,"A, B, C, D, E",1,1,D,D,1,1,"B, C","B, C",1,1,B,B,1,1,B,B
18,35.5,A,1,1,A,A,1,1,D,D,1,1,C,C,1,1,B,B,0,1,D,E,1,1,A,A,1,1,B,B,0,1,B,C,1,1,"A, C","A, C",1,1,D,D,1,1,C,C,1,1,"C, D, E","C, D, E",1,1,"B, C","B, C",1,1,E,E,1,1,E,"A, C, E",1,1,C,C,1,1,E,E,1,1,D,D,1,1,A,A,1,1,A,A,1,1,C,C,1,1,B,B,1,1,E,E,1,1,D,D,0,1,"B, E","D, E",1,1,D,D,0,1,C,B,1,1,D,D,1,1,A,A,1,1,D,D,1,1,A,"A, B, C, D, E",1,1,D,D,1,1,C,C,1,1,E,E,1,1,D,D,1,1,A,A,0,0,A,"A, B, C, D, E",1,1,D,D,0.5,1,C,"B, C",1,1,B,B,1,1,B,B
19,34,A,1,1,A,A,1,1,D,D,1,1,C,C,0,1,E,B,1,1,E,E,1,1,A,A,1,1,B,B,0,1,E,C,1,1,"A, C","A, C",0,1,B,D,1,1,C,C,1,1,"C, D, E","C, D, E",0,1,"B, E","B, C",1,1,E,E,1,1,C,"A, C, E",1,1,C,C,1,1,E,E,1,1,D,D,1,1,A,A,1,1,A,A,1,1,C,C,1,1,B,B,1,1,E,E,1,1,D,D,1,1,"D, E","D, E",1,1,D,D,1,1,B,B,1,1,D,D,1,1,A,A,0,1,A,D,1,1,A,"A, B, C, D, E",1,1,D,D,1,1,C,C,1,1,E,E,1,1,D,D,1,1,A,A,0,0,A,"A, B, C, D, E",1,1,D,D,0,1,"C, D","B, C",1,1,B,B,1,1,B,B
20,34.5,A,1,1,A,A,1,1,D,D,0,1,E,C,0,1,C,B,0,1,D,E,1,1,A,A,1,1,B,B,0,1,B,C,1,1,"A, C","A, C",1,1,D,D,1,1,C,C,1,1,"C, D, E","C, D, E",1,1,"B, C","B, C",1,1,E,E,1,1,C,"A, C, E",1,1,C,C,1,1,E,E,1,1,D,D,1,1,A,A,1,1,A,A,1,1,C,C,1,1,B,B,1,1,E,E,1,1,D,D,0.5,1,E,"D, E",1,1,D,D,1,1,B,B,1,1,D,D,1,1,A,A,1,1,D,D,1,1,A,"A, B, C, D, E",1,1,D,D,1,1,C,C,1,1,E,E,1,1,D,D,1,1,A,A,0,0,A,"A, B, C, D, E",1,1,D,D,1,1,"B, C","B, C",1,1,B,B,0,1,A,B
21,36,A,1,1,A,A,1,1,D,D,1,1,C,C,1,1,B,B,1,1,E,E,0,1,B,A,1,1,B,B,1,1,C,C,1,1,"A, C","A, C",1,1,D,D,1,1,C,C,1,1,"C, D, E","C, D, E",1,1,"B, C","B, C",1,1,E,E,1,1,C,"A, C, E",1,1,C,C,1,1,E,E,1,1,D,D,1,1,A,A,1,1,A,A,1,1,C,C,1,1,B,B,1,1,E,E,1,1,D,D,0,1,"C, E","D, E",0,1,E,D,1,1,B,B,1,1,D,D,1,1,A,A,1,1,D,D,1,1,A,"A, B, C, D, E",1,1,D,D,0,1,A,C,1,1,E,E,1,1,D,D,1,1,A,A,0,0,A,"A, B, C, D, E",1,1,D,D,1,1,"B, C","B, C",1,1,B,B,1,1,B,B
22,22,A,1,1,A,A,0,1,B,D,0,1,D,C,0,1,E,B,0,1,D,E,0,1,B,A,0,1,C,B,1,1,C,C,0,1,B,"A, C",0,1,C,D,1,1,C,C,1,1,"C, D, E","C, D, E",0.5,1,C,"B, C",0,1,B,E,1,1,E,"A, C, E",0,1,D,C,0,1,D,E,0,1,C,D,1,1,A,A,1,1,A,A,1,1,C,C,1,1,B,B,1,1,E,E,1,1,D,D,0,1,C,"D, E",1,1,D,D,0,1,A,B,1,1,D,D,1,1,A,A,1,1,D,D,1,1,B,"A, B, C, D, E",1,1,D,D,0,1,A,C,1,1,E,E,0,1,E,D,0,1,C,A,0,0,A,"A, B, C, D, E",1,1,D,D,0.5,1,C,"B, C",1,1,B,B,1,1,B,B
23,28.1667,A,1,1,A,A,0,1,A,D,1,1,C,C,1,1,B,B,1,1,E,E,1,1,A,A,1,1,B,B,0,1,B,C,0,1,"A, B","A, C",0,1,"A, B, D",D,1,1,C,C,0.6667,1,"C, E","C, D, E",0,1,"A, B","B, C",0,1,C,E,1,1,C,"A, C, E",0,1,D,C,1,1,E,E,1,1,D,D,0,1,C,A,1,1,A,A,1,1,C,C,1,1,B,B,1,1,E,E,1,1,D,D,0.5,1,E,"D, E",1,1,D,D,1,1,B,B,1,1,D,D,1,1,A,A,0,1,A,D,1,1,D,"A, B, C, D, E",1,1,D,D,1,1,C,C,1,1,E,E,1,1,D,D,1,1,A,A,0,0,A,"A, B, C, D, E",1,1,D,D,0,1,"C, D","B, C",1,1,B,B,0,1,A,B
24,27.1667,A,1,1,A,A,0,1,B,D,1,1,C,C,1,1,B,B,1,1,E,E,1,1,A,A,0,1,C,B,0,1,B,C,0,1,"B, D","A, C",0,1,A,D,1,1,C,C,0.6667,1,"C, E","C, D, E",0,1,A,"B, C",1,1,E,E,1,1,E,"A, C, E",1,1,C,C,1,1,E,E,0,1,B,D,1,1,A,A,1,1,A,A,1,1,C,C,1,1,B,B,1,1,E,E,0,1,E,D,0,1,"C, D","D, E",1,1,D,D,1,1,B,B,1,1,D,D,1,1,A,A,1,1,D,D,1,1,C,"A, B, C, D, E",1,1,D,D,0,1,A,C,1,1,E,E,1,1,D,D,1,1,A,A,0,0,A,"A, B, C, D, E",0,1,A,D,0.5,1,B,"B, C",0,1,A,B,1,1,B,B
25,29.6667,A,1,1,A,A,1,1,D,D,1,1,C,C,1,1,B,B,1,1,E,E,1,1,A,A,1,1,B,B,0,1,B,C,0,1,"A, C, E","A, C",1,1,D,D,1,1,C,C,0.6667,1,"D, E","C, D, E",0,1,"C, D","B, C",1,1,E,E,1,1,E,"A, C, E",1,1,C,C,1,1,E,E,1,1,D,D,1,1,A,A,1,1,A,A,1,1,C,C,1,1,B,B,1,1,E,E,1,1,D,D,0,1,"C, E","D, E",0,1,E,D,1,1,B,B,1,1,D,D,1,1,A,A,0,1,A,D,1,1,A,"A, B, C, D, E",0,1,B,D,1,1,C,C,1,1,E,E,1,1,D,D,0,1,E,A,0,0,A,"A, B, C, D, E",0,1,E,D,0,1,"C, D","B, C",1,1,B,B,1,1,B,B
26,34.3333,A,1,1,A,A,1,1,D,D,1,1,C,C,1,1,B,B,1,1,E,E,1,1,A,A,1,1,B,B,0,1,B,C,1,1,"A, C","A, C",1,1,D,D,1,1,C,C,0.3333,1,E,"C, D, E",1,1,"B, C","B, C",0,1,C,E,1,1,E,"A, C, E",1,1,C,C,1,1,E,E,0,1,A,D,1,1,A,A,1,1,A,A,0,1,E,C,1,1,B,B,1,1,E,E,1,1,D,D,1,1,"D, E","D, E",1,1,D,D,1,1,B,B,1,1,D,D,1,1,A,A,1,1,D,D,1,1,D,"A, B, C, D, E",0,1,B,D,1,1,C,C,1,1,E,E,1,1,D,D,1,1,A,A,0,0,A,"A, B, C, D, E",1,1,D,D,1,1,"B, C","B, C",1,1,B,B,1,1,B,B
27,21.6667,A,0,1,B,A,1,1,D,D,1,1,C,C,1,1,B,B,1,1,E,E,1,1,A,A,0,1,C,B,0,1,D,C,0,1,"B, C","A, C",0,1,"A, D",D,1,1,C,C,0.6667,1,"D, E","C, D, E",1,1,"B, C","B, C",0,1,B,E,1,1,C,"A, C, E",0,1,,C,0,1,A,E,0,1,C,D,1,1,A,A,1,1,A,A,1,1,C,C,1,1,B,B,1,1,E,E,0,1,C,D,0,1,"B, E","D, E",0,1,C,D,0,1,C,B,1,1,D,D,1,1,A,A,0,1,B,D,1,1,C,"A, B, C, D, E",0,1,B,D,1,1,C,C,1,1,E,E,1,1,D,D,0,1,C,A,0,0,A,"A, B, C, D, E",0,1,C,D,0,1,"B, D","B, C",1,1,B,B,1,1,B,B
